,Jaar,Meningitis,Alzheimer en andere dementia's,Parkinson,Malaria,Verdrinking,Huiselijk geweld,HIV/AIDS,Diabetes type 2,Vergiftiging,Verkeersongelukken
Jaar,1.0,-0.043288453479916555,0.08370998979447174,0.06875573176676571,-0.01596354221331527,-0.040910080258820994,-0.0011218420445583933,0.022963555077336592,0.0742923029382561,-0.007414073227632708,0.005981950023276566
Meningitis,-0.043288453479916555,1.0,0.21671269306722918,0.35166757481834066,0.755260969076822,0.5763468812235397,0.4472416646366513,0.41188098104201204,0.5611769062153373,0.38189924963591293,0.5113164159088617
Alzheimer en andere dementia's,0.08370998979447174,0.21671269306722918,1.0,0.9507850883154294,0.03129009451370619,0.5994025509203943,0.4296219264064352,0.10162788111237694,0.7234173346644599,0.7193725185972032,0.7604214367354806
Parkinson,0.06875573176676571,0.35166757481834066,0.9507850883154294,1.0,0.08410905258888174,0.7536631426115589,0.48552791032131953,0.14552145930777105,0.8359406611307147,0.8184439298165368,0.8979821617742617
Malaria,-0.01596354221331527,0.755260969076822,0.03129009451370619,0.08410905258888174,1.0,0.19583932509668617,0.18446911222570492,0.42447149631070813,0.20549321292851058,0.16942409280480072,0.17882185290398828
Verdrinking,-0.040910080258820994,0.5763468812235397,0.5994025509203943,0.7536631426115589,0.19583932509668617,1.0,0.5393394792511156,0.17110765798804045,0.7140793151751624,0.7903906833709208,0.8940736207297502
Huiselijk geweld,-0.0011218420445583933,0.4472416646366513,0.4296219264064352,0.48552791032131953,0.18446911222570492,0.5393394792511156,1.0,0.315642324018907,0.6217279057642274,0.4716589272210421,0.5744672328623941
HIV/AIDS,0.022963555077336592,0.41188098104201204,0.10162788111237694,0.14552145930777105,0.42447149631070813,0.17110765798804045,0.315642324018907,1.0,0.289674963330954,0.16516916951572003,0.22910299278361904
Diabetes type 2,0.0742923029382561,0.5611769062153373,0.7234173346644599,0.8359406611307147,0.20549321292851058,0.7140793151751624,0.6217279057642274,0.289674963330954,1.0,0.5951737138768467,0.8509437711210167
Vergiftiging,-0.007414073227632708,0.38189924963591293,0.7193725185972032,0.8184439298165368,0.16942409280480072,0.7903906833709208,0.4716589272210421,0.16516916951572003,0.5951737138768467,1.0,0.8649230924440545
Verkeersongelukken,0.005981950023276566,0.5113164159088617,0.7604214367354806,0.8979821617742617,0.17882185290398828,0.8940736207297502,0.5744672328623941,0.22910299278361904,0.8509437711210167,0.8649230924440545,1.0
